﻿investor,investee,mount,sentence
1,0,0,腾讯科技讯据外媒报道，小米印度公司负责人贾马库ManuKumarJain称，小米将会从其IPO融资资金中抽出一大块资金用于发展印度业务，尤其是打造其互联网服务生态系统、投资更多初创公司以及打造针对印度市场的物联网服务
1,0,0,小米还准备进军它迄今为止一直避开的印度高端智能手机市场
1,1,1,贾马库称，小米在上个月的IPO活动中总计融资45亿美元
0,0,0,该公司将会用其中30%的资金来做研发，用30%的资金建造物联网平台，用30%的资金进行全球扩张，剩下10%的资金则用于其他各种各样的开支
0,0,0,一部分全球扩张资金将会投入到印度市场
1,0,0,他说，我们的智能手机、充电宝和小米官网Mi.com都在印度获得了很好的发展
0,0,0,但是，我们还能够在互联网服务、初创公司投资和针对印度的物联网设备方面做更多事情
1,0,0,他补充称，小米印度业务并不需要大量的外部投资，因为它本身就是盈利的业务
1,0,0,小米在印度打造了一系列互联网服务，包括音乐应用程序MiMusic和文件共享应用MiDrop以及MiBrowser浏览器和MiStore购物应用
0,0,0,最近，该公司还在印度推出了贷款应用MiCredit，提供最高10万卢比的贷款
1,1,0,小米已在印度投资了10个初创公司，其中几家初创公司符合其打造互联网服务的战略，例如社交网络应用Sharechat、数字内容平台Hungama和借贷初创公司Krazybee
0,0,0,而且，它还与这些公司合作推出了相关的产品
1,0,0,目前，科技巨头谷歌、Facebook、Paytm和亚马逊等已打造了完善的服务生态系统，并在各个行业进行了投资
1,0,0,小米似乎准备效仿苹果，为其硬件用户打造一系列服务
0,0,0,印度Quo-tient公司联合创始人阿南德-卢尼亚AnandLunia说
0,0,0,随着其手机的推广，小米将能够更深入地了解消费者，从而在手机中整合更好的服务
0,0,0,他补充说
1,0,0,小米还准备进军高端智能手机市场
1,0,0,业内专家称，小米在印度销售的几乎所有手机都在3万卢比价格之下
0,0,0,它的唯一一款高端智能手机是MiMix
0,0,0,我们意识到现在是时候进军高端智能手机市场了
0,0,0,我们必须主动挑选我们的战场，自觉地进行决策
0,0,0,如果我们想在印度获胜，我们就不能距离平均销售价格太远
0,0,0,贾马库说
0,0,0,很多印度消费者都开始购买他们的第二部或第二部智能手机
0,0,0,我们不能让他们失望
0,0,0,他补充说
1,0,0,小米印度公司已宣布将会在8月8日推出MiA2AndroidOne智能手机，但是尚未公布它的价格
0,0,0,贾马库还表示，他们还会进一步发展小米官网Mi.com
0,0,0,目前，就GMV网站成交金额而言，小米官网已成为了印度第三大网站
0,0,0,我们估计，就GMV而言，我们在网络销售方面已成为印度第三大平台
0,0,0,他说
0,0,0,Mi.com网站团队打造了很多功能，例如交换、MiProtect服务和城区当日送达服务以及多个商品捆绑打折优惠
1,0,0,贾马库称，小米将会继续通过Flipkart和亚马逊等平台销售其产品
1,0,0,在中国，我们除了在小米官网销售产品外，我们还在阿里巴巴和京东进行销售
0,0,0,但是同时，我们也会与它们进行竞争，例如我们的MiPay就与支付宝形成了竞争
0,0,0,他解释说
1,0,0,市场研究公司Counterpoint的最新统计数据显示，第二季度，在印度，小米被三星夺走了智能手机销量冠军的宝座
0,0,0,而在此前两个季度，小米一直是印度市场上的智能手机销量冠军
0,0,0,保持第一至关重要
0,0,0,但是，一个季度不是第一并不会让我们睡不着觉
0,0,0,他说
1,0,0,小米还致力于通过其线下渠道如小米之家零售店或其他合作伙伴来提高销售额
0,0,0,该公司还计划到明年底将其线下销量占比提高到其全部销量的50%
0,0,0,编译/乐学
,,,;;;;;;;;;;
0,1,0,网易科技讯8月7日消息，据路透社报道，四位消息人士透露，阿里巴巴计划合并快餐外卖部门，并为新部门融资，加强与美团在中国发展迅速的按需服务市场上的竞争
0,1,0,其中一位人士称，融资预计在今年晚些时候进行，新合并的部门将包括阿里巴巴的盒马鲜生
0,1,0,阿里巴巴要合并的部门包括外卖平台饿了么和口碑的美食及时尚生活服务
0,1,1,一位消息人士称，阿里巴巴希望为合并后的新实体融资30-50亿美元，另一位人士表示，新实体估值最高可达250亿美元
0,1,0,对此阿里巴巴拒绝置评，饿了么的发言人否认存在合并和融资计划
0,0,0,由于此消息未公开，所有消息人士都拒绝透露身份
0,0,0,易观国际称，去年中国O2O交易额增长72%至1460亿美元
0,0,0,据艾媒咨询6月的报告称，饿了么和百度外卖第一季度占据中国外卖市场的55%，美团外卖占41%
0,0,0,4月滴滴也推出了自己的外卖服务
0,0,0,美团将在数月内在香港上市，预计募集超40亿美元
0,0,0,在去年的融资中，美团估值达到300亿美元
,,,;;;;;;;;;;
0,0,0,凤凰网科技讯据BusinessKorea北京时间8月7日报道，在苹果公司市值最近突破10000亿美元之际，三星电子的市盈率已经跌至6倍
0,0,0,更低的市盈率常常意味着更大的股价上涨潜力，但在现实中三星电子的股价却不断下跌，主要原因就是该公司的业绩前景不够稳定，尤其是业界担心其半导体业务面临下行的风险
0,0,0,根据韩国交易所的数据，三星电子股价上周五收报45750韩元，较上一交易日上涨0.44%或200韩元
0,0,0,然而在盘中，三星电子股价一度跌至45450韩元，差点跌破45000韩元关口
0,0,0,自5月初三星电子股票拆分后，该股就一路下滑，较拆股后的53000韩元下跌了13.67%
0,0,0,三星电子第二季度的运营利润为14.87万亿韩元约合131.8亿美元，让此前连续七个季度盈利创下记录的势头划上终结
0,0,0,这一不及预期的表现对其股价产生了不利影响
0,0,0,三星电子近期宣布派发公司有史以来最高的股息，但市场却给出了冷淡的反应
0,0,0,一些证券公司甚至表示，股利基金应该减少持有的三星电子股份
0,0,0,最近两到三年，股权基金通过增持三星电子等大盘股而提高了收益率
0,0,0,事实上，在韩国，有162支基金的最大头寸是三星电子，其中有106支基金持有的三星电子股份占其投资组合的逾10%
0,0,0,直到去年上半年，他们还通过三星电子保持了很高的回报率，即便该公司的派息率很低
0,0,0,然而，情况在最近发生了变化
0,0,0,例如，持有三星电子股份头寸最高的KBResearchHighDividendSecurities基金过去一年来的回报率为负6.65%，过去三个月的回报为负11.41%
0,0,0,这是因为，在一些市场研究人员警告半导体繁荣周期即将结束后，三星电子的股价出现下跌
0,0,0,相比之下，作为三星电子在智能手机市场的头号竞争对手，苹果的市值不断飙升
0,0,0,苹果不久前成为美国首支市值突破10000亿美元的公司
0,0,0,该股在上周五收报207.99美元，涨幅为0.29%
0,0,0,自从在7月31日公布第二季度业绩后，苹果股价每天都在上涨
0,0,0,从市盈率来看，三星电子股价上涨的可能性要高于苹果，但现实并非如此
0,0,0,根据DBFinancialInvestment的数据，三星电子的市盈率目前为6.4，低于韩国综合股价指数平均的9.4倍
0,0,0,另一方面，苹果的前瞻市盈率为15.7倍，是三星电子的两倍多
0,0,0,市盈率是股价与每股收益之间的比率，市盈率较低意味着市值遭到低估
0,0,0,换句话说，在正常情况下，三星电子的股价未来将会上涨，因为该公司的市盈率不仅低于苹果，也低于韩国股市的其他许多公司
0,0,0,然而，市盈率只是估值的标准之一，企业盈利前景黯淡才是三星电子真正的症结
0,0,0,这主要是由于不稳定的半导体市场前景造成的，该业务贡献了三星电子78.6%的运营利润
0,0,0,市场研究公司DRAMeXchange预计，NAND闪存芯片的价格将持续下跌至明年上半年
0,0,0,因此，三星电子的企业利润未来将进一步下降
0,0,0,相比之下，虽然iPhone占据了苹果总营收的60%，但苹果应用商店、苹果支付、iTunes和iCloud等服务业务第二季度的营收同比大增了31%
0,0,0,随着苹果成功地实现了收入多元化，该公司正受到市场的正面评价
0,0,0,编译/扬帆
,,,;;;;;;;;;;
0,0,0,凤凰网科技讯据金融时报北京时间8月7日报道，软银集团周一公布了第一财季财报，营业利润同比增长49%
0,0,0,在周二早盘交易中，软银股价大涨近7%
0,0,0,软银CEO孙正义
0,0,0,在利好财报推动下，软银股价在今天早盘交易中突破1万日元
0,0,0,截至东京时间周二11时07分北京时间周二10时07分，软银股价上涨632日元至10
0,0,0,在此之前，彭博社引用匿名消息人士的话称，软银寻求为其无线网络部门的首次公开招股IPO获得900亿美元的估值
0,0,0,软银股价今天上涨近7%
0,0,0,软银第一财季的大部分利润增长来自其规模为1000亿美元的愿景基金
0,0,0,软银第一财季营业利润为7150亿日元，其中愿景基金贡献了2300亿日元
0,0,0,同时，愿景基金的大部分营业利润来自其以40亿美元向沃尔玛出售印度电商公司Flipkart的股份
0,0,0,愿景基金在去年8月投资25亿美元获得了这部分Flipkart股份
0,0,0,软银创始人兼CEO孙正义MasayoshiSon周一称，公司大部分利润增长来自愿景基金，但是今天的利润只是我们将在未来取得利润的一小部分
0,0,0,编译/箫雨
,,,;;;;;;;;;;
1,1,1,新浪科技讯?北京时间8月7日下午消息，据知情人士透露，软银旗下的愿景基金VisionFund计划领投阿里巴巴旗下食品派送巨头饿了么新一轮融资，此轮融资规模在30亿到50亿美元之间
0,1,0,知情人士称，孙正义领导的近1000亿基金正与潜在投资者进行讨论、作为协议一部分，阿里巴巴打算将饿了么与公司内部部门口碑合并，后者旨在将餐厅与互联网相连
0,0,0,协商正在进行中，条款或可不时发生变化
0,1,0,这笔融资将为饿了么带来急需的资金注入
1,1,0,在于阿里巴巴的对手腾讯投资支持的美团大众点评的竞争中，饿了么已经消耗大量资金
0,1,0,阿里巴巴收购饿了么之时，公司估值达95亿美元
0,1,0,虽然目前的投资能获得饿了么多少股份仍不可知，但投资者至少可以分得未来潜在上市公司的一杯羹
0,1,0,为了吸引用户争夺市场份额，饿了么和美团均不惜一切代价提供大幅折扣，从而遭受巨额损失
0,0,0,虽然消费者的价格降低了，但两家公司仍须向骑手大军付款
1,0,0,这次投资将来自软银的愿景基金
0,0,0,这家规模巨大的基金旨在投资全球最具影响力的公司，以谋取未来技术领域的优势地位
1,1,0,而从个人层面上来看，软银亦是阿里巴巴最早期的投资者之一，孙正义本人也是马云的好友，分别在对方的公司拥有董事席位
0,0,0,随着越来越多人使用智能手机订餐、预订美容护理项目和钟点工，中国的按需服务市场发展迅速
0,0,0,对于想要进一步推广各自支付服务的阿里巴巴和腾讯来说，这个市场也具有重要战略意义
0,0,0,外媒路透社率先报道了融资金额和合并计划
0,1,0,阿里巴巴拒绝代表饿了么发表评论
0,0,0,软银发言人拒绝置评
0,0,0,木尔
,,,;;;;;;;;;;
0,0,0,腾讯科技讯据外媒报道，正通过借助发行新流通股或现金置换所有DVMT股票的交易重返证券市场的戴尔公司，通过周一提供的财务数据让投资人对其财务状况有了更深入的了解
